,,,,,Balanso forma,,,,,,,,,,
,,,"UAB ""Kauno vandenys"", 132751369",,,,,,,,,,,,
,,,"(įmonės teisinė forma, pavadinimas, kodas)",,,,,,,,,,,,
"Kaunas, Aukštaičių g.43, duomenys apie įmonę kaupiami ir saugomi LR Juridinių asmenų registre",,,,,,,,,,,,,,,
,,,"(buveinė (adresas), registras, kuriame kaupiami ir saugomi duomenys)",,,,,,,,,,,,
,,,,, (Tvirtinimo žyma) ,,,,,,,,,,
2017 M. GRUODŽIO 31 D. BALANSAS,,,,,,,,,,,,,,,
               2018 02 28          Nr. _____,,,,,,,,,,,,,,,
(ataskaitos sudarymo data),,,,,,,,,,,,,,,
2017 01 01 - 2017 12 31,,,,, Eurais ,,,,,,,,,,
,(ataskaitinis laikotarpis),,, (ataskaitos tikslumo lygis ir valiuta ,,,,,,,,,,,
,,,,,,,,,,,,,,,
Eil. Nr.,Straipsniai,,,Pastabos Nr., Ataskaitinis laikotarpis , Praėjęs ataskaitinis laikotarpis ,,,,,,,,,
,,,,,,,,,,,,,,,
,TURTAS,,,,,,,,,,,,,,
5.,NEPASKIRSTYTASIS PELNAS (NUOSTOLIAI),,,, 1747375 , 1371121 ,,,,,,,,,
 5.1.,Ataskaitinių metų pelnas (nuostoliai),,,, 1444810 , 1371121 ,,,,,,,,,
 5.2.,Ankstesnių metų pelnas (nuostoliai),,,, 302565 ,,,,,,,,,,
E.,"DOTACIJOS, SUBSIDIJOS",,,10, 53409358 , 55885786 ,,,,,,,,,
F.,ATIDĖJINIAI,,,, 884928 , 932029 ,,,,,,,,,
1.,Pensijų ir panašių įsipareigojimų atidėjiniai,,,13, 95994 , 111552 ,,,,,,,,,
2.,Mokesčių atidėjiniai,,,19, 538821 , 570364 ,,,,,,,,,
3.,Kiti atidėjiniai,,,22.3p., 250113 , 250113 ,,,,,,,,,
G.,MOKĖTINOS SUMOS IR KITI ĮSIPAREIGOJIMAI,,,, 2505372 , 4283144 ,,,,,,,,,
1.,PO VIENŲ METŲ MOKĖTINOS SUMOS IR KITI ILGALAIKIAI ĮSIPAREIGOJIMAI,,,, -   , 1317854 ,,,,,,,,,
 1.1.,Skoliniai įsipareigojimai,,,,,,,,,,,,,,
 1.2.,Skolos kredito įstaigoms,,,,, 1317854 ,,,,,,,,,
 1.3.,Gauti avansai,,,,,,,,,,,,,,
 1.4.,Skolos tiekėjams,,,,,,,,,,,,,,
 1.5.,Pagal vekselius ir čekius mokėtinos sumos ,,,,,,,,,,,,,,
 1.6.,Įmonių grupės įmonėms mokėtinos sumos ,,,,,,,,,,,,,,
 1.7.,Asocijuotosioms įmonėms mokėtinos sumos ,,,,,,,,,,,,,,
 1.8.,Kitos mokėtinos sumos ir ilgalaikiai įsipareigojimai,,,,,,,,,,,,,,
2.,PER VIENUS METUS MOKĖTINOS SUMOS IR KITI TRUMPALAIKIAI ĮSIPAREIGOJIMAI,,,, 2505372 , 2965290 ,,,,,,,,,
 2.1.,Skoliniai įsipareigojimai,,,,, 77521 ,,,,,,,,,
 2.2.,Skolos kredito įstaigoms,,,,,,,,,,,,,,
 2.3.,Gauti avansai,,,, 187592 , 164171 ,,,,,,,,,
 2.4.,Skolos tiekėjams,,,11, 763849 , 988296 ,,,,,,,,,
 2.5.,Pagal vekselius ir čekius mokėtinos sumos ,,,,,,,,,,,,,,
 2.6.,Įmonių grupės įmonėms mokėtinos sumos ,,,,,,,,,,,,,,
 2.7.,Asocijuotosioms įmonėms mokėtinos sumos,,,,,,,,,,,,,,
 2.8.,Pelno mokesčio įsipareigojimai,,,19, 35925 , 166298 ,,,,,,,,,
 2.9.,Su darbo santykiais susiję įsipareigojimai,,,13, 608745 , 628804 ,,,,,,,,,
 2.10.,Kitos mokėtinos sumos ir trumpalaikiai įsipareigojimai,,,12, 909261 , 940200 ,,,,,,,,,
H.,SUKAUPTOS SĄNAUDOS IR ATEINANČIŲ LAIKOTARPIŲ PAJAMOS,,,14, 31545 , 50860 ,,,,,,,,,
,NUOSAVO KAPITALO IR ĮSIPAREIGOJIMŲ IŠ VISO,,,, 173342512 , 177218318 ,,,,,,,,,
,,,,,,,,,,,,,,,
,      Generalinis direktorius,, __________ ,Vilius Burokas,,,,,,,,,,,
(įmonės vadovo pareigų pavadinimas),,, (parašas) ,(vardas ir pavardė),,,,,,,,,,,
,, ,,,,,,,,,,,,,
Vyriausioji finansininkė,,, __________ ,Daiva Vėberienė,,,,,,,,,,,
(vyriausiojo buhalterio (buhalterio),,, (parašas) ,(vardas ir pavardė),,,,,,,,,,,
arba galinčio tvarkyti apskaitą  kito,,,,,,,,,,,,,,,
 asmens pareigų pavadinimas),,,,,,,,,,,,,,,
