,,Šilumos suvartojimo ir mokėjimų už šilumą analizė Lietuvos miestų daugiabučiuose gyvenamuosiuose namuose (2018 m. kovo mėn.),,,,,,,,,,,,,,,,,,,,,,,
Pastatų grupės kategorija pagal šilumos suvartojimą,Nr.,Įmonė,Miestas,Vidutinė lauko oro temperatūra,Vidutinis šilumos suvartojimas šildymui daugiabučiuose namuose,Vidutinis mokėjimas už šilumą 1 m² ploto šildymui (su PVM),Dieno- laipsniai,Adresas,Namo renovacijos tipas,Butų sk.,Statybos metai,Suvartotas šilumos kiekis,,,,,,Namo plotas,Apmokestinta šiluma šildymui gyventojams,Butų plotas,Šilumos suvartojimas šildymui,Šilumos kaina gyventojams (su PVM),Mokėjimai už šilumą 1 m² ploto šildymui (su PVM),Šilumos suvartojimas 60 m² ploto buto šildymui,Mokėjimai už šilumą 60 m² ploto buto šildymui (su PVM)
,,,,,,,,,,,,Iš viso,Karštam vandeniui ruošti,Karšto vandens temp. palaikymui,Su nepaskirstytu karštu vandeniu,Bendrosioms reikmėms,Butų ir kitų patalpų šildymui,,,,,,,,
,,,,0C,MWh/m²/mėn,Eur/m²/mėn,vnt.,,,vnt.,metai,MWh,MWh,MWh,MWh,MWh,MWh,m²,MWh,m²,MWh/m²/mėn,EUR/MWh,EUR/m²/mėn,kWh/mėn,EUR/mėn
,343,"AB ,,Kauno energija""",Kaunas,"-1,8",184,"1,1","613,8",Masiulio T. 1 (renov),,20,1959,"16,9","2,6",0,0,"1,1","12,6","985,6","12,9","941,1","1,369","58,1","0,8","821,18","47,71"
,384,"AB ,,Kauno energija""",Kaunas,"-1,8",184,"1,1","613,8",Sąjungos a. 7 (renov.)***,Pilnai renovuotas,32,1962,"24,5","2,9","2,4",0,0,"19,2","1419,3","21,6","1419,3","1,523","58,1","0,89","913,94","53,1"
,437,"AB ,,Kauno energija""",Kaunas,"-1,8",184,"1,1","613,8",Sąjungos a. 10 (renov.),,63,1960,"19,9","3,3","2,4",0,0,14,924,"15,6",924,"1,693","58,1","0,98","1016,06","59,03"
,534,"AB ,,Kauno energija""",Kaunas,"-1,8",184,"1,1","613,8",Lukšos-Daumanto 2,,41,1987,49,"3,4","6,9","0,2",0,"27,5","2323,4","33,5","1658,2","2,022","58,1","1,17","1213,21","70,49"
,649,"AB ,,Kauno energija""",Kaunas,"-1,8",184,"1,1","613,8",Partizanų 198,,59,1981,"86,3","6,6","14,5",0,0,64,"3418,8","77,8","3356,3","2,317","58,1","1,35","1390,49","80,79"
,661,"AB ,,Kauno energija""",Kaunas,"-1,8",184,"1,1","613,8",Šiaurės 101,,57,1982,"92,5","8,1","19,3","-0,9",0,66,"3486,1","82,1","3486,1","2,354","58,1","1,37","1412,36","82,06"
,669,"AB ,,Kauno energija""",Kaunas,"-1,8",184,"1,1","613,8",Gravrogkų 17,,118,1961,"74,6","8,4","2,5",0,0,"63,6",2620,"62,4",2620,"2,382","58,1","1,38","1429,41","83,05"
,674,"AB ,,Kauno energija""",Kaunas,"-1,8",184,"1,1","613,8",Šiaurės 1,,47,1981,"86,7","5,5","14,7","0,3",0,"63,4","2980,6","68,3","2853,9","2,392","58,1","1,39","1435,27","83,39"
,690,"AB ,,Kauno energija""",Kaunas,"-1,8",184,"1,1","613,8",Pašilės 96,,54,1987,"63,2","5,4",10,0,0,"47,1","2179,6","53,8","2179,6","2,468","58,1","1,43","1480,72","86,03"
,692,"AB ,,Kauno energija""",Kaunas,"-1,8",184,"1,1","613,8",Lukšio 64,,47,1979,"85,1","7,7","12,6","-0,6",0,"64,1","2974,9","72,5","2918,3","2,484","58,1","1,44","1490,28","86,59"
,694,"AB ,,Kauno energija""",Kaunas,"-1,8",184,"1,1","613,8",Partizanų 20,,108,1968,"94,3","7,2","23,3",0,0,"63,7","2559,3","63,8","2559,3","2,492","58,1","1,45","1495,01","86,86"
,710,"AB ,,Kauno energija""",Kaunas,"-1,8",184,"1,1","613,8",Baltų 2,,92,1991,"111,4","8,1","18,4",0,0,"80,8","3724,7","91,7","3549,5","2,583","58,1","1,5","1549,9","90,05"
,724,"AB ,,Kauno energija""",Kaunas,"-1,8",184,"1,1","613,8",Taikos 39,,107,1974,"83,3","9,3","14,2",0,0,"58,5",2560,"66,6","2503,1","2,66","58,1","1,55","1596,27","92,74"
,810,"AB ,,Kauno energija""",Kaunas,"-1,8",184,"1,1","613,8",Baršausko 78,,32,1961,"40,8","3,2",0,0,0,"37,6","1429,6","37,4","1429,6","2,619","58,1","1,52","1571,69","91,32"
,832,"AB ,,Kauno energija""",Kaunas,"-1,8",184,"1,1","613,8",Draugystės 6,,55,1977,"71,6","4,2","13,8",0,0,"53,5","2217,3","60,2","2217,3","2,716","58,1","1,58","1629,81","94,69"
,887,"AB ,,Kauno energija""",Kaunas,"-1,8",184,"1,1","613,8",Savanorių 237,,22,1958,"46,3",0,0,0,0,"33,8","1528,3",34,"1113,7","3,049","58,1","1,77","1829,13","106,27"
,899,"AB ,,Kauno energija""",Kaunas,"-1,8",184,"1,1","613,8",Kalantos R. 23,,28,1957,"47,7",0,0,0,0,"42,4","1462,5",41,"1301,1","3,154","58,1","1,83","1892,1","109,93"
,935,"AB ,,Kauno energija""",Kaunas,"-1,8",184,"1,1","613,8",Juozapavičiaus 48 A,,25,1957,"55,4",0,0,0,0,"55,4","1561,5","54,6","1561,5","3,499","58,1","2,03","2099,57","121,99"
,955,"AB ,,Kauno energija""",Kaunas,"-1,8",184,"1,1","613,8",Strazdo A. 77,,24,1962,"17,4",0,0,0,0,"17,4",402,"14,8",402,"3,829","58,1","2,37","2297,59","141,99"
,968,"AB ,,Kauno energija""",Kaunas,"-1,8",184,"1,1","613,8",Armatūrininkų 6,,7,1959,"12,8",0,0,0,0,"12,8",322,13,322,"4,034","58,1","2,34","2420,65","140,64"
,976,"AB ,,Kauno energija""",Kaunas,"-1,8",184,"1,1","613,8",Stulginskio A. 64,,18,1959,"43,5","2,6",0,0,0,"40,8","963,8",40,"963,8","4,145","58,1","2,41","2487,2","144,51"
,977,"AB ,,Kauno energija""",Kaunas,"-1,8",184,"1,1","613,8",Instituto 18,,8,iki 1992,"15,8","0,9",0,0,0,"14,9","364,3","15,4","364,3","4,223","58,1","2,45","2534,08","147,23"
,989,"AB ,,Kauno energija""",Kaunas,"-1,8",184,"1,1","613,8",Jakšto 8,,8,1901,"13,9",0,0,0,0,"12,4","330,1",14,"294,5","4,765","58,1","2,77","2858,97","166,11"
