Data,Vietovė,Elemento tipas,Kelias
2018-12-14,"Dėl vandentiekio linijos rekonstrukcijos darbų, gruodžio 14 d. nuo 9 val. iki 14 val. laikinai nutraukiamas vandens tiekimas -  Laisvės al. Nr. 57, 59. Atnaujinus vandens tiekimą gali pablogėti vandens kokybė. 
Kėkštų g. 31 remontuojama vandentiekio linija.
Kapsų g. 4 remontuojamas vandentiekio įvadas.
Palemono g., Ateities pl. tikrinami vandentiekio tinklai.
Aukštaičių g., Žemuogių g., Kauko al. tikrinamos vandentiekio sklendės.
Įgulos g., Varpo g., Stumbro g. (Šakių k.) matuojamas vandens slėgis.  
Kranto al. 50 keičiamas liukas ir dangtis.
A. Juozapavičiaus pr.  remontuojamas buitinių nuotekų tinklas.
Bitininkų g. 31, V. Krėvės pr. 26, 106, J. Basanavičiaus al. 51, A. Juozapavičiaus pr. 12, M. Daukšos g. 50, Josvainių g. 25, Vytėnų g. 23 tikrinami ir plaunami buitinių ir lietaus nuotekų tinklai.
V. Krėvės pr. 102, Josvainių g. 25, Vytėnų g. 23 valomi šuliniai.",Elementas,Lists/darbai
2018-12-13,"​Dėl vandenvietėje vykdomų remonto darbų, gruodžio 13 d. nuo 9 val. iki 10 val. laikinai nutraukiamas vandens tiekimas - Kleboniškio ir Naujasodžio k. gyventojams. Atnaujinus vandens tiekimą laikinai gali pablogėti vandens kokybė.
Dėl vandentiekio įvado pajungimo į vandentiekio liniją darbų, gruodžio 13 d. 23 val. iki 14 d. 5 val. laikinai nutraukiamas vandens tiekimas - Raudondvario pl. 161B, 190, 192, 194, 200, 204, Kaniūkų 1-oji g. 4. Atnaujinus vandens tiekimą laikinai gali pablogėti vandens kokybė.
Dėl vandentiekio linijos rekonstrukcijos darbų, gruodžio 14 d. nuo 9 val. iki 14 val. laikinai bus nutrauktas vandens tiekimas -  Laisvės al. Nr. 57, 59. Atnaujinus vandens tiekimą gali pablogėti vandens kokybė. 
Juodelynės g. 32 remontuojama vandentiekio linija.
Ringaudų k. tikslinama vandens nutekėjimo vieta.
Panerių g., Verknės g, Vokiečių g. tikrinami vandentiekio tinklai. 
Taikos pr. 141 demontuojami vandens nutekėjimo davikliai. 
Nemuno g. 12 (Rokai), Karklų g. 3 valomi šuliniai.
Verkių g. 11, R. Kalantos g. 127 keičiami šulinių liukai ir dangčiai.
Spynų g. 8, P. Višinskio g. 75H  remontuojami šuliniai.
Birštono g. 6, Vydūno al. 3, Šv. Gertrūdos g. 14B, Kumelių g., Nemuno g. 12 (Rokai), Karklų g. 3 tikrinami ir plaunami buitinių ir lietaus nuotekų tinklai.
Nemuno g. 12 (Rokai), Karklų g. 3 valomi šuliniai.",Elementas,Lists/darbai
2018-12-12,"​Varnalėšų takas 16 remontuojama vandentiekio linija.  
A. Juozapavičiaus pr. 27 remontuojamas vandens apskaitos mazgas.
Panerių g., Zarasų g., Tvirtovės al. tikrinami vandentiekio tinklai.
R. Kalantos g. 18 po remonto darbų vandentiekio linijoje atnaujinamas vandens tiekimas.
Ateities pl., Palemono g., Taikos pr. 141 demontuojamai ir montuojami vandens nutekėjimo davikliai.
Raudondvario pl. 186, 206 valomos vandentiekio kameros.
Neries kr. 2, Kovo 11-osios g. 31, Šv. Gertrūdos g.  valomi šuliniai.
T. Masiulio g. 31 remontuojama nuotekų linija.
Neries kr. 7A  remontuojamas lietaus nuotekų tinklo šulinys.
Kovo 11-osios g. 31, A. Mapu g. 28, Šv. Gertrūdos g. 14 B tikrinami ir plaunami buitinių ir lietaus nuotekų tinklai.",Elementas,Lists/darbai
2018-12-11,"​Eržvilko g. 5 remontuojama vandentiekio linija.  
Aido g. 8 keičiama vandentiekio sklendė.
Varnalėšų takas 16 tikrinamas vandentiekio tinklas ir sklendės.  
V. Kudirkos g. 20 atjungiamas vandentiekio įvadas.  
V. Montvilos g. 1 (Garliava) remontuojamas šulinys, keičiamas liukas ir  dangtis.
Ateities pl., Palemono g., Diemedžio g., Keramzito g. tikslinamos vandens nutekėjimo vietos.
Sąjungos a. 11 tikrinami buitinių nuotekų tinklo šuliniai. 
A. Mapu g. 18, Kapsų g. 77, Kovo 11- osios g. 31 tikrinami ir plaunami buitinių ir lietaus nuotekų tinklai.",Elementas,Lists/darbai
2018-12-10,"​V. Krėvės pr. 13A, Muitinės g. 9 remontuojamos vandentiekio linijos.
Verknės g.14, Chemijos g. 6a tikrinami vandentiekio tinklai.
Kulvos g. 41 remontuojamas šulinys, keičiamas liukas ir dangtis.
Raudondvario pl. 178-232, T. Masiulio g. 13A, Rasytės g. 22, Karklų g. 3 valomi vandentiekio šuliniai, tikrinamos sklendės.
A. Mapu g. 18, Kęstučio g. 6, 23A tikrinami ir plaunami buitinių nuotekų tinklai.",Elementas,Lists/darbai
2018-12-07,"​Dėl vandentiekio linijos rekonstrukcijos darbų gruodžio 7 d. nuo 9 val. iki 17 val. laikinai nutraukiamas vandens tiekimas Jonavos g. atkarpoje nuo Eigulių g. iki Nuokalnės g., atnaujinus vandens tiekimą laikinai gali pablogėti vandens kokybė.
Dėl įvykusių avarijų vandentiekio tinkluose nuo 9 val. 30 min. iki 13 val. laikinai nutraukiamas vandens tiekimas - R. Kalantos g. 123, 129, 133, 137, 141, 139, 145, 149, 155, 157, 151. Nuo 9 val. 30 min. iki 12 val., Lazdijų g. namams su lyginiai numeriais 42-68, atnaujinus vandens tiekimą laikinai gali pablogėti vandens kokybė.
Muitinės g. 9, Vilniaus g. 21  matuojamas vandens slėgis.
A. Stulginskio g. 20, V. Krėvės pr. 102 remontuojami šuliniai, keičiami liukai ir dangčiai.
Ramybės g. 53, Lopšelio g. 10 valomi šuliniai.
A. Mapu g. 18, T. Masiulio g. 31, Partizanų g. 40, Europos pr. 120, Lopšelio g. 10, J. Basanavičiaus al. 51, Ramybės g. 53 tikrinami ir plaunami lietaus ir buitinių nuotekų tinklai.",Elementas,Lists/darbai
2018-12-06,"Pylimo g. 7 remontuojamas vandentiekio įvadas.
Ašigalio g., Riešutų g., Perkūno al. tikrinami vandentiekio tinklai.
Raudondvario pl. tikrinamos vandentiekio sklendės.
Kumelių g., Maironio g. 40, Ukmergės g. 13, Verkių g. 20 tikrinami ir valomi šuliniai.
Vokiečių g. 119, Veršvos g. 2 vyksta buitinių nuotekų tinklo šulinių ir linijos remonto darbai.
Maironio g. 40, Ukmergės g. 13, Verkių g. 20, Veiverių g. tikrinami ir plaunami lietaus ir buitinių nuotekų tinklai.",Elementas,Lists/darbai
2018-12-05,"​Dėl susijusiais su  S. Dariaus ir S. Girėno  stadiono rekonstrukcijos darbais nuo gruodžio 5 d. 23 val. iki gruodžio  6 d. 3 val. laikinai nutraukiamas vandens tiekimas Vaižganto g., Perkūno al. Nr. 12 – 30, 3A – 15, Ąžuolyno g. 2. Atnaujinus vandens tiekimą gali pablogėti vandens kokybė.
J. Naugardo g. tikslinama vandens nutekėjimo vieta.
S. Lozoraičio g., Vasario 16-osios g. (Garliavoje) atnaujinamas vandens tiekimas.
Perkūno al., Ašigalio g. tikrinami vandentiekio tinklai.
Karklų g. 3, Vilniaus g. 36, Ramybės g. 53 valomi šuliniai.
Sukilėlių pr. 73, Gailutės g. 6, R. Kalantos g. 88 remontuojami šuliniai, keičiami dangčiai.
Jonavos g. 162  remontuojama lietaus nuotekų tinklo surinkimo kamera.  
Karklų g. 3, Vilniaus g. 36, Ramybės g. 53, S. Dariaus ir S. Girėno g., Kumelių g., Vytėnų g. 25, Veiverių g. tikrinami ir plaunami buitinių nuotekų tinklai.",Elementas,Lists/darbai
2018-12-04,"​E. Fryko g., Kumelių g. 1 remontuojami vandentiekio įvadai.
Skudučių g. 25 remontuojama vandentiekio linija.
Muravos g., Baltų pr., Neries kr. tikrinami vandentiekio tinklai.
Šaldytuvų g., Tetervinų al., Erdvės g. (Ramučių k.), A. Mackevičiaus tikrinamos vandentiekio sklendės.  
J. Naugardo g. bus tikslinama vandens nutekėjimo vieta.
Karklų g. 3,  P. Vileišio g. 5 valomi šuliniai.
Artojų g. 7, Rasytės g. 22, Partizanų g. 9 tikrinami ir plaunami lietaus ir buitinių nuotekų tinklai.",Elementas,Lists/darbai
2018-12-03,"Dėl vandentiekio linijos rekonstrukcijos darbų Mackevičiaus g., gruodžio 3 d. nuo 9 val. iki 14 val. laikinai bus nutrauktas vandens tiekimas.
Mackevičiaus g. Nr. 3, 4, 5, 6, 7, 8, 11, 13, 14, 15, 16, 17, 18, 19, 19A, 20, 21, 22, 24, 25, 28, 30, 30A, 32, 32A, 34A, 38, 38A, 40, 40A, 29, 31, 33, 35, 35A, 37, 39, 41, 42, 42A, 43, 44, 45, 46, 47, 48, 49, 50, 51A, 52A, 53, 53A, 54, 54A, 55, 56, 57, 58, 58A, 58B, 58C, 58D, 59, 60, 60A, 61, 62, 66, 66A.
Karmėlavos g. Nr. 3.
Kriaušių g. Nr. 7, 7A, 9.  
J. Zikaro g. Nr. 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 15, 17, 19, 21, 23, 25, 25A, 27, 29.  
Paminklų g. Nr. 3, 6, 7, 8, 10, 11, 11A.
Benediktinių g. Nr. 5, 6, 7, 8, 9, 10, 11, 11A, 12, 14, 15, 16, 17, 19, 19A, 21, 23, 23A, 22, 24A, 25, 27, 27A, 29, 30, 32, 34, 36, 37, 39, 40, 41, 43, 44, 45, 46, 47, 48, 50.   
Trumpoji g. Nr. 3, 4, 5, 6, 7, 8, 8A, 10.
Pakopų takas Nr. 1, 3, 4.
M. Valančiaus g. 11 remontuojamas vandentiekio įvadas.
Sąjungos a. 17 remontuojama vandentiekio kamera.
Panerių g. 133 remontuojamas vandens apskaitos mazgas.
Muitinės g. 9A tikrinami ir remontuojami vandentiekio tinklai.
Perkūno al. tikrinami vandentiekio tinklai ir sklendės. 
A. Juozapavičiaus pr. 7-7T tikrinamas vandentiekio įvadų pralaidumas ir vandens slėgis.
Nepriklausomybės a. 12, Birželio 23 - iosios g. 14 valomi šuliniai. 
Veršvos g. 2, Partizanų g. 38, Nepriklausomybės a. 12, Breslaujos g. 3 tikrinami ir plaunami lietaus ir buitinių nuotekų tinklai.",Elementas,Lists/darbai
