Data,Vietovė,Elemento tipas,Kelias
2018-11-16,"​Veiverių g., Lakūnų pl. plaunama vandentiekio linija.
Veiverių g., Europos pr. prieš nutraukiant vandens tiekimą tikrinamos sklendės.
Lazdijų g. 64 keičiama įvadinė vandentiekio sklendė. 
E. Fryko g. 9 remontuojamas vandens apskaitos mazgas.
Islandijos pl., Šiaurės pr. tikrinami gaisriniai hidrantai.
Maumedžių g. 11, Stumbro g. 1, Sąjungos a. 11 valomi ir remontuojami šuliniai.
Draugystės g. 8 remontuojama buitinių nuotekų tinklo linija.
Vilniaus g. 36, Gintariškių g. 25, Neries kr. 9, Ryšių g. 30, Partizanų pr. 90 – 108, Stumbro g. 1, Juozapavičiaus pr. 24, Maumedžių g. 11, Žvaigždžių g. 15 tikrinami ir plaunami lietaus ir buitinių nuotekų tinklai.",Elementas,Lists/darbai
2018-11-15,"15 d. dėl vandentiekio rekonstrukcijos darbų laikinai nutraukiamas vandens tiekimas - nuo 13 val. iki 15 val. Birutės g. (atkarpoje nuo Vaidoto g. iki Pušų g.), Medžių g. ir J. Staugaičio g.,
nuo 20 val. iki 6 val. Veiverių g. (atkarpoje nuo Europos pr. iki Lakūnų pl.),
nuo 23 val. iki 2 val. (Vijūkų k. ir Giraitės k.) Adolfo Šapokos g. (nuo Girios g. iki Topolių g.), Pušyno g., Beržų g., Žaros g., Bajorų g., Aguonų g., Jazminų g., Ąžuolų g. 
16 d. dėl vandentiekio rekonstrukcijos darbų laikinai nutraukiamas vandens tiekimas - nuo 2 val. iki 5 val. Savanorių pr. 290A, 290B, 292, 292B. Atnaujinus vandens tiekimą laikinai gali pablogėti vandens kokybė.
Pramonės pr. 31, Verkių g. 35 remontuojami vandentiekio įvadai.  Vaižganto g. 9A  remontuojamas vandens apskaitos mazgas.
A. Purėno g. 32, Vaižganto g. 12, Baltų pr. 105 tikrinami vandentiekio tinklai.
Neries kr. tikrinamos vandentiekio sklendės.
Sąjungos a. remontuojamas buitinių nuotekų tinklo šulinys.
Rokų g. 34, Virgalės g. Vilniaus g. 36, Sandėlių g. 7, A. Kačanausko g. 11, Užliedžių g. 19, A. Juozapavičiaus pr. 24, Ramybės g. 53, Maumedžių g. 11, Aukštoji g. 3 tikrinami ir plaunami lietaus ir buitinių nuotekų tinklai.
Maumedžių g. 11, A. Juozapavičiaus pr. 24 valomi buitinių nuotekų tinklo šuliniai.",Elementas,Lists/darbai
2018-11-14,"​Dėl vandentiekio sklendžių keitimo darbų 14 d. nuo 9 val. iki 17 val. laikinai bus nutrauktas vandens tiekimas J. Mateikos g. ir S. Moniuškos g. (atkarpoje tarp J. Mateikos g. ir M. Jankaus g.). Atnaujinus vandens tiekimą laikinai gali pablogėti vandens kokybė.
Universiteto g. 6 (Akademija) remontuojama vandentiekio linija.
Jonavos g. 136 remontuojamas vandentiekio įvadas.
Baterijos pl., Seinų g., Siūlų g., Drobės g., Nyčių g., Šeivų g., Pušyno g. Trakų g. 1 tikrinamos ir keičiamos vandentiekio sklendės.
Chemijos g., Studentų g. demontuojami vandens nutekėjimo davikliai.
Užliedžių g. 19, Sandėlių g. 7, Ramunių g. 7 plaunami šuliniai.
Piliakalnio g. 63, Aukštoji g. 3 keičiami šulinių liukai ir dangčiai.
Vaižganto g., L. Ivinskio g., Erdvės g. tikrinami vandentiekio tinklai.
Virgalės g., Sandėlių g. 7, Partizanų g. 49, A. Kačanausko g. 11 tikrinami ir plaunami lietaus ir buitinių nuotekų tinklai.",Elementas,Lists/darbai
2018-11-13,"Nemuno g. 25 vandentiekio tinkluose matuojamas vandens slėgis.  Chemijos g. 17A, Studentų g., A. Baranausko g. tikslinamos vandens nutekėjimo vietos,  montuojami vandens nutekėjimo davikliai.  
Veiverių g., Lakūnų g., Europos pr. tikrinamos vandentiekio sklendės.
J. Žemgulio g. 7, Salyno g., Virgalės g., Partizanų g. 49B, T. Masiulio g. 13A tikrinami ir plaunami buitinių nuotekų tinklai.
Rimvydo g. 7, Vilniaus g. 28A, Demokratų g. 37, Šv. Gertrūdos g. 39, Kovo 11-osios g. 45 remontuojami šuliniai.
Užliedžių g. 19, Pyvesos g. 23, Palemono g. 46 plaunami šuliniai.",Elementas,Lists/darbai
2018-11-12,"
Jazminų g. 37 remontuojama vandentiekio linija. Trakų g. 7 permontuojamas vandens apskaitos mazgas.
M. Riomerio g., Biržiškų g., A. ir J. Gravrogkų g., K. Baršausko g. – tikrinami vandentiekio įvadai ir sklendės.  
Lekėčių g. tikrinami vandentiekio tinklai.
Partizanų g, 9, A. Kačanausko g. 11, Laisvės al. 74, A. Juozapavičiaus pr. 24 tikrinami ir plaunami buitinių nuotekų tinklai.
V. Montvilos g. , Vienybės g. , Pavasario g. (Garliavoje) tikslinami neteisėti lietus nuotekų pajungimo į buitinių nuotekų tinklus atvejai.",Elementas,Lists/darbai
2018-11-09,"​Mažoji g. 11 remontuojamas vandentiekio įvadas. Aukštaičių g., Kauko al. tikrinami šuliniai ir sklendės.
Vaidoto g. 19  remontuojamas gaisrinis hidrantas, permontuojamas šulinys.
Vasario 16 - osios g. 9, Lukšynės g. 15 valomi šuliniai.
Muitinės g. 27 (Domeikava ) remontuojama buitinių nuotekų tinklo linija.
Partizanų g. 9, Romainių g. 96, Kuršių g. 12, Vasario 16 - osios g. 9, Lukšynės g. 15, Apuolės g. 7, Salyno g., Virgalės g. tikrinami ir plaunami lietaus ir buitinių nuotekų tinklai.",Elementas,Lists/darbai
2018-11-08,"8 d. Laisvės al.atkarpoje nuo L. Sapiegos g. iki Vilniaus g. bus tikrinama vandentiekio linija ir įvadai. Pastebėjus, jog sutriko vandens tiekimas, gyventojų prašoma skambinti avarinei tarnybai tel. (8 37) 31 35 92.  
Trakų g. 34, Nemuno g. 47 remontuojamas buitinių nuotekų tinklas.   
T. Masiulio g. 18, Medvėgalio g. 25, Aušros g. 30, 65, Rožių g. 7 tikrinami buitinių nuotekų tinklai.  
T. Masiulio g. 18, Medvėgalio g. 25 valomi šuliniai.  
Tremtinių g. 13 tikslinami neteisėti lietaus nuotekų pajungimo į buitinių nuotekų tinklą atvejai.
  ",Elementas,Lists/darbai
2018-11-07,"Dėl vandentiekio remonto darbų 7 d. nuo 9 val. iki 18 val. laikinai bus nutrauktas vandens tiekimas Šilelio g., Įgulos g., Seminarijos g., Varpo g., Vijuonos g., Girios g., Tūkstantmečio g., Neringos g., Žuvų g. (Šakių k. Domeikavos seniūnija). Atnaujinus vandens tiekimą gali pablogėti vandens kokybė.
7 d. Laisvės al. atkarpoje nuo L. Sapiegos g. iki Vilniaus g. bus tikrinama vandentiekio linija ir įvadai. Pastebėjus, jog sutriko vandens tiekimas, gyventojų prašoma skambinti avarinei tarnybai tel. (8 37) 31 35 92.
Chemijos g. 29A remontuojama vandentiekio linija.
Savanorių pr. 129 remontuojamas vandens apskaitos mazgas.
E. Ožeškienės g. 45 remontuojamas vandentiekio įvadas.
Vandžiogalos g., Stumbro g., Siūlų g. tikrinamos vandentiekio sklendės. 
Trakų g. matuojamas vandens slėgis.
Vytauto pr.19, Tvirtovės al. 86, Kovo 11 - osios g. 57 Pramonės pr. 9, A. Juozapavičiaus pr. 114, Dubingių g. 1A tikrinami ir plaunami lietaus ir buitinių nuotekų tinklai.
S. Santvaro g. 46-44, Prancūzų g. 68A, Dubingių g. 1, Kovo 11-osios g. 57 valomi šuliniai.
",Elementas,Lists/darbai
2018-11-06,"​Dėl vandentiekio remonto darbų 7 d. nuo 9 val. iki 18 val. laikinai bus nutrauktas vandens tiekimas Šilelio g., Įgulos g., Seminarijos g., Varpo g., Vijuonos g., Girios g., Tūkstantmečio g., Neringos g., Žuvų g. (Šakių k. Domeikavos seniūnija). Atnaujinus vandens tiekimą gali pablogėti vandens kokybė.
Tetervinų al., Verkių g. 63,  (Šakių k.) prieš nutraukiant vandens tiekimą tikrinamos sklendės ir vandentiekio tinklai. 
V. Landsbergio - Žemkalnio g. 9, M. Daukšos g. 16, Aukštųjų Kaniūkų g. 41 permontuojami vandens apskaitos mazgai.
Atžalyno g. (Garliava) tikslinamos vandens nutekėjimo vietos.
Obuolių g. 3, Veršvos g. 2  remontuojami šuliniai.
Šilainių pl. 19, Naujakurių g. 30, Taikos pr. 70, 86, Pramonės pr. 9, Prancūzų g. 68A, Pilėnų g. 6, Demokratų g. 37, Šv. Gertrūdos g. 39, Smėlio g., Mažoji g. tikrinami ir plaunami lietaus ir buitinių nuotekų tinklai.
Gvazdikų g., Darbininkų g. tikslinimai neteisėti lietaus nuotekų pajungimo į buitinių nuotekų tinklą atvejai.",Elementas,Lists/darbai
2018-11-05,"
Kopų g. 18 remontuojama vandentiekio linija.
Vasario 16-osios g. 8 (Garliava) keičiama vandentiekio sklendė.
Šiaurės pr. 41, Pramonės pr. 99, R. Kalantos g. 7, Atžalyno g. 19 tikrinami vandentiekio tinklai.
A. Mackevičiaus g., J. Zikaro g., Perlojos g. tikrinamos vandentiekio sklendės.  
Neries krantinė 2, Pilėnų g. 6, M. Daukšos g. 34A, Radastų g. 31 tikrinami ir remontuojami šuliniai, keičiami dangčiai.
Mokyklos g. 9, P. Višinskio g. 77, A. Smetonos al. 57, Pabiržės g. 22 , Karaliaus Mindaugo pr. 40 tikrinami ir plaunami lietaus ir buitinių nuotekų tinklai.
",Elementas,Lists/darbai
2018-11-02,"​M. Daukšos g. 34A, Ašigalio g. 53 vyks šulinių remontas,     Kareivinių g. 5 – buitinių nuotekų linijos remontas,     Gvazdikų g. – buitinių nuotekų tinklų patikra sauso dūmo generatoriumi.
Europos pr. 70, Mokyklos g. 9, T. Masiulio g. 16, Vaižganto g. 9, Kazliškių g. 26, Baltijos g. 65, Geležinkelio g. 5 bus tikrinami ir plaunami buitinių ir lietaus nuotekų tinklai.
",Elementas,Lists/darbai
2018-10-31,"
Kovo 11-osios g. 37 remontuojamas vandens apskaitos mazgas.
V. Krėvės pr. 58 remontuojama vandentiekio kamera.
Šarkuvos g. 33 keičiamas šulinio liukas ir dangtis.
A. Smetonos al., Ringuvos g. 32, A. Juozapavičiaus pr. 32, Smėlio g., Malūno g., Perlojos g., Tilto g. tikrinami  tinklai, šuliniai ir sklendės. 
Trakų g. 33 remontuojama buitinių nuotekų tinklo linija.
J. Žemgulio g. 7, Kęstučio g. 23A, Ašigalio g. 53, Prancūzų g. 45, Vaižganto g. 9, Jonavos g. 164 tikrinami ir plaunami lietaus ir buitinių nuotekų tinklai.
Žalioji g. 11, Prancūzų g. 70, Zarasų g. 32, Ašigalio g. 35 valomi šuliniai.",Elementas,Lists/darbai
2018-10-30,"Dėl vandentiekio rekonstrukcijos darbų 30 d. 23 val. iki 31 d. 6 val. laikinai bus nutrauktas vandens tiekimas Vaidoto g. Nr. 17-51, 31-114, Mažoji g. Nr. 2-10, 1-11, K. Veverskio g., Kareivinių g. Z. Gerulaičio g. atnaujinus vandens tiekimą laikinai gali pablogėti vandens kokybė.
Kaišiadorių g. 10 laikinai nutraukiamas vandens tiekimas.
Vaidoto g., Mažoji g., K. Veverskio g., Z. Gerulaičio g., Kareivinių g. prieš nutraukiant vandens tiekimą tikrinamos vandentiekio sklendės.
Nemuno g. 47, Žemaičių g. 43, Gražinos g. 48, Gedimino g. 22, Tvirtovės al. 2 montuojami šuliniai, keičiami liukai ir dangčiai.
Vilniaus g. 28A, M. Daukšos g. 34A, Taikos pr. 70, Zarasų g. 32, Vaižganto g. 9,  Ąžuolyno parkas tikrinami ir plaunami lietaus ir buitinių nuotekų tinklai.
Taikos pr. 70, Jonavos g. 164 valomi šuliniai.",Elementas,Lists/darbai
2018-10-29,"
V. Krėvės pr. 58 permontuojamas vandens apskaitos mazgas.
Kulvos g. 34 permontuojamas šulinys.
Karaliaus Mindaugo pr., Kaunakiemio g., Prietilčio g. tikrinami gaisriniai hidrantai.
Baltų pr. 4, Demokratų g. 45  remontuojamos buitinių nuotekų tinklo linijos.
Kareivinių g. 5, 8, J. Žemgulio g. 17, P. Višinskio g. 75A, Spynų g. 4, Rimvydo g. 7, Zarasų g. 32, A. Smetonos al. 57A, Guobų g. 97, Birželio 23 - iosios g. 7, Gedimino g. 3 tikrinami ir  plaunami lietaus ir buitinių nuotekų tinklai.
Taikos pr. 70a , Gedimino g. 22, Guobų g. 97 valomi šuliniai.  ",Elementas,Lists/darbai
2018-10-25,"
Žuvinto g. 5, Partizanų g. 90, Ašmenos II-oji g. 21 remontuojamos vandentiekio linijos.
K. Petrausko g. 15, A. Juozapavičiaus pr. 38; L. Ivinskio g. 106, Žemynos g. tikrinami vandentiekio tinklai.
Varpo g. 2, Laisvės al. 40, Nemuno g. 12 valomi šuliniai.
Linkuvos g., Panerių g., Pilies g., A. Jakšto g. tikrinamos vandentiekio sklendės.
Savanorių pr., Lakajų g. tikrinami gaisriniai hidrantai.
Varpo g. 2, Laisvės al. 40, Nemuno g. 12, Širvintų g. 58 plaunami lietaus ir buitinių nuotekų tinklai.",Elementas,Lists/darbai
2018-09-03,"Sodų g. 2, K. Donelaičio g. 65 tikslinamos vandens nutekėjimo vietos.
V. Putvinskio g. 44 remontuojamas šulinys.
Kranto al., Kranto 10-oji g., Vaižganto g. 12 kečiami šulinių liukai ir dangčiai.
V. Putvinskio g. 65, Kulvos g. 28, Vytauto pr., Bažnyčios g., Kalniečių g. 81, R. Kalantos g. 118, Vaidoto g. tikrinami buitinių ir lietaus nuotekų tinklai.
V. Putvinskio g. 65, R. Kalantos g. 118, Vytauto pr., Bažnyčios g. valomi šuliniai.",Elementas,Lists/darbai
