Data,Pastabos,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas
2018-12-12,remontuojama vandentiekio linija.,Varnalėšų takas 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-12,remontuojamas vandens apskaitos mazgas.,A. Juozapavičiaus pr. 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-12,tikrinami vandentiekio tinklai.,Panerių g.,Zarasų g.,Tvirtovės al.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-12,po remonto darbų vandentiekio linijoje atnaujinamas vandens tiekimas.,R. Kalantos g. 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-12,demontuojamai ir montuojami vandens nutekėjimo davikliai.,Ateities pl.,Palemono g.,Taikos pr. 141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-12,valomos vandentiekio kameros.,Raudondvario pl. 186,Raudondvario pl. 206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-12,valomi šuliniai.,Neries kr. 2,Kovo 11-osios g. 31,Šv. Gertrūdos g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-12,remontuojama nuotekų linija.,T. Masiulio g. 31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-12,remontuojamas lietaus nuotekų tinklo šulinys.,Neries kr. 7A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-12,tikrinami ir plaunami buitinių ir lietaus nuotekų tinklai.,Kovo 11-osios g. 31,A. Mapu g. 28,Šv. Gertrūdos g. 14 B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-11,remontuojama vandentiekio linija.,Eržvilko g. 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-11,keičiama vandentiekio sklendė.,Aido g. 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-11,tikrinamas vandentiekio tinklas ir sklendės.,Varnalėšų takas 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-11,atjungiamas vandentiekio įvadas.,V. Kudirkos g. 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-11,"remontuojamas šulinys, keičiamas liukas ir  dangtis.",V. Montvilos g. 1 (Garliava),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-11,tikslinamos vandens nutekėjimo vietos.,Ateities pl.,Palemono g.,Diemedžio g.,Keramzito g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-11,tikrinami buitinių nuotekų tinklo šuliniai.,Sąjungos a. 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-11,tikrinami ir plaunami buitinių ir lietaus nuotekų tinklai.,A. Mapu g. 18,Kapsų g. 77,Kovo 11- osios g. 31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-10,remontuojamos vandentiekio linijos.,V. Krėvės pr. 13A,Muitinės g. 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-10,tikrinami vandentiekio tinklai.,Verknės g.14,Chemijos g. 6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-10,"remontuojamas šulinys, keičiamas liukas ir dangtis.",Kulvos g. 41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-10,"valomi vandentiekio šuliniai, tikrinamos sklendės.",Raudondvario pl. 178-232,T. Masiulio g. 13A,Rasytės g. 22,Karklų g. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-10,tikrinami ir plaunami buitinių nuotekų tinklai.,A. Mapu g. 18,Kęstučio g. 6,23A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-07,"Dėl vandentiekio linijos rekonstrukcijos darbų gruodžio 7 d. nuo 9 val. iki 17 val. laikinai nutraukiamas vandens tiekimas, atnaujinus vandens tiekimą laikinai gali pablogėti vandens kokybė.",Jonavos g. atkarpoje nuo Eigulių g. iki Nuokalnės g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-07,Dėl įvykusių avarijų vandentiekio tinkluose nuo 9 val. 30 min. iki 13 val. laikinai nutraukiamas vandens tiekimas.,R. Kalantos g. 123,R. Kalantos g. 129,R. Kalantos g. 133,R. Kalantos g. 137,R. Kalantos g. 141,R. Kalantos g. 139,R. Kalantos g. 145,R. Kalantos g. 149,R. Kalantos g. 155,R. Kalantos g. 157,R. Kalantos g. 151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-07,"Nuo 9 val. 30 min. iki 12 val. namams su lyginiai numeriais 42-68, atnaujinus vandens tiekimą laikinai gali pablogėti vandens kokybė.",Lazdijų g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-07,matuojamas vandens slėgis.,Muitinės g. 9,Vilniaus g. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-07,"remontuojami šuliniai, keičiami liukai ir dangčiai.",A. Stulginskio g. 20,V. Krėvės pr. 102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-07,valomi šuliniai.,Ramybės g. 53,Lopšelio g. 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-07,tikrinami ir plaunami lietaus ir buitinių nuotekų tinklai.,A. Mapu g. 18,T. Masiulio g. 31,Partizanų g. 40,Europos pr. 120,Lopšelio g. 10,J. Basanavičiaus al. 51,Ramybės g. 53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-06,remontuojamas vandentiekio įvadas.,Pylimo g. 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-06,tikrinami vandentiekio tinklai.,Ašigalio g.,Riešutų g.,Perkūno al.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-06,tikrinamos vandentiekio sklendės.,Raudondvario pl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-06,tikrinami ir valomi šuliniai.,Kumelių g.,Maironio g. 40,Ukmergės g. 13,Verkių g. 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-06,vyksta buitinių nuotekų tinklo šulinių ir linijos remonto darbai.,Vokiečių g. 119,Veršvos g. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-06,tikrinami ir plaunami lietaus ir buitinių nuotekų tinklai.,Maironio g. 40,Ukmergės g. 13,Verkių g. 20,Veiverių g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-05,Dėl susijusiais su  S. Dariaus ir S. Girėno  stadiono rekonstrukcijos darbais nuo gruodžio 5 d. 23 val. iki gruodžio  6 d. 3 val. laikinai nutraukiamas vandens tiekimas. Atnaujinus vandens tiekimą gali pablogėti vandens kokybė.,Vaižganto g.,Perkūno al. 12 – 30,Perkūno al. 3A – 15,Ąžuolyno g. 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-05,tikslinama vandens nutekėjimo vieta.,J. Naugardo g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-05,atnaujinamas vandens tiekimas.,S. Lozoraičio g.,"Vasario 16-osios g., Garliava",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-05,tikrinami vandentiekio tinklai.,Perkūno al.,Ašigalio g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-05,valomi šuliniai.,Karklų g. 3,Vilniaus g. 36,Ramybės g. 53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-05,"remontuojami šuliniai, keičiami dangčiai.",Sukilėlių pr. 73,Gailutės g. 6,R. Kalantos g. 88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-05,remontuojama lietaus nuotekų tinklo surinkimo kamera.,Jonavos g. 162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-05,tikrinami ir plaunami buitinių nuotekų tinklai.,Karklų g. 3,Vilniaus g. 36,Ramybės g. 53,S. Dariaus ir S. Girėno g.,Kumelių g.,Vytėnų g. 25,Veiverių g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-04,remontuojami vandentiekio įvadai.,E. Fryko g.,Kumelių g. 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-04,remontuojama vandentiekio linija.,Skudučių g. 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-04,tikrinami vandentiekio tinklai.,Muravos g.,Baltų pr.,Neries kr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-04,tikrinamos vandentiekio sklendės.,Šaldytuvų g.,Tetervinų al.,"Erdvės g., Ramučių k.",A. Mackevičiaus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-04,bus tikslinama vandens nutekėjimo vieta.,J. Naugardo g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-04,valomi šuliniai.,Karklų g. 3,P. Vileišio g. 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-04,tikrinami ir plaunami lietaus ir buitinių nuotekų tinklai.,Artojų g. 7,Rasytės g. 22,Partizanų g. 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-03,Dėl vandentiekio linijos rekonstrukcijos darbų gruodžio 3 d. nuo 9 val. iki 14 val. laikinai bus nutrauktas vandens tiekimas.,Mackevičiaus g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-03,,Mackevičiaus g. 3,Mackevičiaus g. 4,Mackevičiaus g. 5,Mackevičiaus g. 6,Mackevičiaus g. 7,Mackevičiaus g. 8,Mackevičiaus g. 11,Mackevičiaus g. 13,Mackevičiaus g. 14,Mackevičiaus g. 15,Mackevičiaus g. 16,Mackevičiaus g. 17,Mackevičiaus g. 18,Mackevičiaus g. 19,Mackevičiaus g. 19A,Mackevičiaus g. 20,Mackevičiaus g. 21,Mackevičiaus g. 22,Mackevičiaus g. 24,Mackevičiaus g. 25,28Mackevičiaus g. ,Mackevičiaus g. 30,Mackevičiaus g. 30A,Mackevičiaus g. 32,Mackevičiaus g. 32A,Mackevičiaus g. 34A,Mackevičiaus g. 38,Mackevičiaus g. 38A,Mackevičiaus g. 40,Mackevičiaus g. 40A,Mackevičiaus g. 29,Mackevičiaus g. 31,Mackevičiaus g. 33,Mackevičiaus g. 35,Mackevičiaus g. 35A,Mackevičiaus g. 37,Mackevičiaus g. 39,Mackevičiaus g. 41,Mackevičiaus g. 42,Mackevičiaus g. 42A,Mackevičiaus g. 43,Mackevičiaus g. 44,Mackevičiaus g. 45,Mackevičiaus g. 46,Mackevičiaus g. 47,Mackevičiaus g. 48,Mackevičiaus g. 49,Mackevičiaus g. 50,Mackevičiaus g. 51A,Mackevičiaus g. 52A,Mackevičiaus g. 53,Mackevičiaus g. 53A,Mackevičiaus g. 54,Mackevičiaus g. 54A,Mackevičiaus g. 55,Mackevičiaus g. 56,Mackevičiaus g. 57,Mackevičiaus g. 58,Mackevičiaus g. 58A,Mackevičiaus g. 58B,Mackevičiaus g. 58C,Mackevičiaus g. 58D,Mackevičiaus g. 59,Mackevičiaus g. 60,Mackevičiaus g. 60A,Mackevičiaus g. 61,Mackevičiaus g. 62,Mackevičiaus g. 66,Mackevičiaus g. 66A
2018-12-03,,Karmėlavos g. Nr. 3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-03,,Kriaušių g. 7,Kriaušių g. 7A,Kriaušių g. 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-03,,J. Zikaro g. 1,J. Zikaro g. 2,J. Zikaro g. 3,J. Zikaro g. 4,J. Zikaro g. 5,J. Zikaro g. 6,J. Zikaro g. 7,J. Zikaro g. 8,J. Zikaro g. 9,J. Zikaro g. 11,J. Zikaro g. 15,J. Zikaro g. 17,J. Zikaro g. 19,J. Zikaro g. 21,J. Zikaro g. 23,J. Zikaro g. 25,J. Zikaro g. 25A,J. Zikaro g. 27,J. Zikaro g. 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-03,,Paminklų g. 3,Paminklų g. 6,Paminklų g. 7,Paminklų g. 8,Paminklų g. 10,Paminklų g. 11,Paminklų g. 11A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-03,,Benediktinių g. 5,Benediktinių g. 6,Benediktinių g. 7,Benediktinių g. 8,Benediktinių g. 9,Benediktinių g. 10,Benediktinių g. 11,Benediktinių g. 11A,Benediktinių g. 12,Benediktinių g. 14,Benediktinių g. 15,Benediktinių g. 16,Benediktinių g. 17,Benediktinių g. 19,Benediktinių g. 19A,Benediktinių g. 21,Benediktinių g. 23,Benediktinių g. 23A,Benediktinių g. 22,Benediktinių g. 24A,Benediktinių g. 25,Benediktinių g. 27,Benediktinių g. 27A,Benediktinių g. 29,Benediktinių g. 30,Benediktinių g. 32,Benediktinių g. 34,Benediktinių g. 36,Benediktinių g. 37,39Benediktinių g. ,Benediktinių g. 40,Benediktinių g. 41,Benediktinių g. 43,Benediktinių g. 44,Benediktinių g. 45,Benediktinių g. 46,Benediktinių g. 47,Benediktinių g. 48,Benediktinių g. 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-03,,Trumpoji g. 3,Trumpoji g. 4,Trumpoji g. 5,Trumpoji g. 6,Trumpoji g. 7,Trumpoji g. 8,Trumpoji g. 8A,Trumpoji g. 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-03,,Pakopų takas 1,Pakopų takas 3,Pakopų takas 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-03,remontuojamas vandentiekio įvadas.,M. Valančiaus g. 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-03,remontuojama vandentiekio kamera.,Sąjungos a. 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-03,remontuojamas vandens apskaitos mazgas.,Panerių g. 133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-03,tikrinami ir remontuojami vandentiekio tinklai.,Muitinės g. 9A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-03,tikrinami vandentiekio tinklai ir sklendės.,Perkūno al.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-03,tikrinamas vandentiekio įvadų pralaidumas ir vandens slėgis.,A. Juozapavičiaus pr. 7-7T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-03,valomi šuliniai.,Nepriklausomybės a. 12,Birželio 23 - iosios g. 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-03,tikrinami ir plaunami lietaus ir buitinių nuotekų tinklai.,Veršvos g. 2,Partizanų g. 38,Nepriklausomybės a. 12,Breslaujos g. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-30,"formuojama slėgio zona, uždaromos vandentiekio sklendės.","Forto g., Šakių k.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-30,tikrinamas vandentiekio įvado pralaidumas.,Laisvės al. 33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-30,atjungiami vandentiekio įvadai.,Kranto 16-oji g. 18,Raudondvario 7- as takas 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-30,valomi šuliniai.,Birželio 23-iosios g. 14,Šv. Gertrūdos g. 14B,Rotušės a. 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-30,remontuojamas buitinių nuotekų šulinys.,Palangos g. 16,Islandijos pl. 215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-30,remontuojamas lietaus nuotekų surinkimo šulinys.,Saulės g. 16A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-30,tikrinami ir plaunami lietaus ir buitinių nuotekų tinklai.,Šv. Gertrūdos g. 14B,Rotušės a. 10,Europos pr. 120,Veršvos g. 2,Vokiečių g. 119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-29,Lapkričio 29 d. nuo 23 val. iki  lapkričio 30 d. 3 val. laikinai bus nutraukiamas vandens tiekimas atkarpoje nuo Sąjungos a. iki K. Griniaus g.,Neries kr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-29,remontuojamas vandentiekio įvadas.,Gabijos g. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-29,tikrinamos vandentiekio sklendės.,A. Mickevičiaus g.,J. Zikaro g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-29,nutraukiamas vandens tiekimas.,Vandžiogalos pl. 20,Raudondvario pl. 99,Raudondvario 7-as takas 3,Žiedų g. 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-29,remontuojami šuliniai.,M. Daukšos g. 26A,Dujotiekio g. 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-29,remontuojama nuotekų linija.,Vilniaus g. 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-29,tikrinami ir plaunami lietaus ir buitinių nuotekų tinklai.,Šv. Gertrūdos g. 14B,Rotušės a. 10,Nepriklausomybės g. 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-28,Lapkričio 28 d. nuo 9 val. iki 13 val. laikinai nutraukiamas vandens tiekimas Ringaudų ir Akademijos gyvenvietėse.,Obelynės g.,Medeinos g.,Varžupio g.,Varžupio 1-oji g.,Varžupio 2-oji g.,Varžupio 3-oji g.,T. Ivanausko g.,Putinų g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-28,Lapkričio 28 d. nuo 11 val. iki 14 val. laikinai nutraukiamas vandens tiekimas atkarpoje nuo Smalininkų g. iki Birštono g.,Nemuno g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-28,Lapkričio 29 d. nuo 23 val. iki  lapkričio 30 d. 3 val. laikinai bus nutrauktas vandens tiekimas atkarpoje nuo Sąjungos a. iki K. Griniaus g.,Neries kr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-28,dėl kokybės bus plaunamos vandentiekio linijos.  Ilgoji g. tikrinami vandentiekio tinklai ir gaisriniai hidrantai.,Seniavos pl.,Gvazdikų g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-28,remontuojamas vandentiekio įvadas.,P. Plechavičiaus g. 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-28,remontuojama vandentiekio linija.,T. Masiulio g. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-28,remontuojami vandens apskaitos mazgai.,Partizanų g. 190,Trakų g. 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-28,tikrinami šuliniai.,Šarkuvos g. 27,V. Krėvės pr. 47,Šiaurės pr. 99a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-28,tikrinami ir plaunami lietaus ir buitinių nuotekų tinklai.,Chodkevičių g. 9 (Romainiai),Šv. Gertrūdos g. 14B,Partizanų g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-27,Lapkričio 27 d. nuo 13 val. iki 15 val. laikinai nutraukiamas vandens tiekimas. Laikinai gali pablogėti vandens kokybė.,Medžių g.,Staugaičio g. ,Birutės g. Nr. 1-13,2-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-27,remontuojamos vandentiekio linijos.,Savanorių pr. 236,Sedulų g. 2 (Vaišvydava),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-27,plaunami vandentiekio įvadai.,Kokybės g(LEZ),V. Krėvės pr. 133A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-27,tikrinamos vandentiekio sklendės.,Neries Krantinė,K. Griniaus g.,Pakraščio g. 35,Vinių g.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-27,remontuojama vandentiekio sklendė.,Užnemunės g.,Marvelės g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
