Data,Pastabos,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas
2018-12-27,tvarkoma įgriuva ir šulinys.,Partizanų g. 74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-27,tikrinami ir plaunami buitinių nuotekų tinklai.,Liepų g. 33,Ringuvos g. 44,Baltijos g. 56,A. Šociko g. 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-21,remontuojamas vandentiekio įvadas.,Žalgirio g. 9 (Ringaudai),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-21,tikrinami vandentiekio tinklai.,Šilalės g. 5,Sukilėlių pr. 78A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-21,"remontuojami šuliniai, keičiami dangčiai.",A. Juozapavičiaus pr. 53,Veiverių g. 107,R. Kalantos g. 173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-21,tikrinami šuliniai.,M. Daukšos g. 26A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-21,tikslinami neteisėti lietaus nuotekų pajungimo į buitinių nuotekų tinklą atvejai.,Garliavos pl. 37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-21,tikrinami ir plaunami buitinių nuotekų tinklai.,V. Kuzmos g. 6,Plento g. 24,Kleboniškio g. 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-20,remontuojama vandentiekio linija.,A. Žukausko g. 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-20,linijoje atnaujinamas vandens tiekimas.,Vokiečių g. 161,A. Juozapavičiaus pr. 7F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
